"CODIGO__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NIVEL_RIESGO__C","NOMBRE_LARGO__C","OWNERID","SYSTEMMODSTAMP"
"ACT048","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khkAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades  de  produccion  de  peliculas  cinematograficas   videos   programa","2.0","Actividades  de  produccion  de  peliculas  cinematograficas   videos   programas  anuncios  y  comerciales  de  television   incluyen  la  produccion  de  peliculas cinematograficas  videos  programas  anuncios y comerciales de television  de avisos comerciales para television y salas de cine o teatros","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT053","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khmAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades  de  zonas  de  camping  y  parques  para  vehiculos  recreacionales","2.0","Actividades  de  zonas  de  camping  y  parques  para  vehiculos  recreacionales  incluye el servicio de alojamiento en un terreno delimitado  con un sitio para cada persona o grupo de personas al aire libre  casas rodantes  zonas de camping  campamentos    carpas    parques   para   remolques    campos   recreativos  campamentos de pesca y caza para corta estadia  refugios protectores y/o talegos para dormir","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT054","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khnAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades  ejecutivas  de  la  administracion  publica   incluye  las  activid","1.0","Actividades  ejecutivas  de  la  administracion  publica   incluye  las  actividades administrativas de los organismos de defensa y seguridad","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT055","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khoAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades  ejecutivas  de  la  administracion  publica   incluye  los  servici","1.0","Actividades  ejecutivas  de  la  administracion  publica   incluye  los  servicios  de personal y otras actividades de servicios generales: administracion de servicios de personal en general  esten o no relacionados con una funcion concreta, la formulacion y aplicacion de normas y procedimientos generales de personal en materia  de  metodos  de  seleccion   calificacion  y  ascenso   descripcion  de funciones  evaluacion y clasificacion  aplicacion de reglamentos de personal  entre otros, la administracion  la direccion y el respaldo de servicios generales: servicios de suministro y compra centralizados, conservacion y custodia de registros y archivos publicos, la administracion de edificios de propiedad publica u ocupados por la administracion publica","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT056","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khpAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades  posteriores  a  la  cosecha   incluye  el  desmotado  del  algodon","2.0","Actividades  posteriores  a  la  cosecha   incluye  el  desmotado  del  algodon   la preparacion preliminar de las hojas de tabaco  la preparacion de cacao en grano  el encerado de frutas  el secado al sol de frutas y hortalizas","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT057","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khqAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades  posteriores  a  la  cosecha   incluye  limpieza   recorte   clasifi","2.0","Actividades  posteriores  a  la  cosecha   incluye  limpieza   recorte   clasificacion  desinsectacion y beneficio en general  para su comercializacion en los mercados primarios","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT058","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khrAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades  reguladoras  y  facilitadoras  de  la  actividad  economica   inclu","1.0","Actividades  reguladoras  y  facilitadoras  de  la  actividad  economica   incluye  la administracion y regulacion publica  incluyendo la concesion de subvenciones de los   diferentes   sectores   economicos    administracion   de   las   politicas   de investigacion y desarrollo destinadas a mejorar los resultados economicos y de los  fondos  correspondientes,  la  administracion  de  las  actividades  laborales generales   y  la  ejecucion  de  medidas  de  politica  de  desarrollo  regional,  la ejecucion de medidas de politica de desarrollo regional,","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT063","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khsAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades combinadas de servicios administrativos de oficina  incluye oficina","2.0","Actividades combinadas de servicios administrativos de oficina  incluye oficina corriente recepcion  planificacion financiera  facturacion y  registro  personal y distribucion  fisica  (servicios  de  mensajeria)  y  logistica   a  cambio  de  una retribucion o por contrata","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT064","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khtAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de administracion empresarial  incluye la supervision  la gestion de","1.0","Actividades de administracion empresarial  incluye la supervision  la gestion de otras unidades de la misma compania o empresa, la planificacion estrategica u organizativa  la toma de decisiones y el control operativo y la gestion de las operaciones  corrientes   en  sedes  administrativas  principales  y/o  centrales  oficinas regionales  oficinas subsidiarias de gestion","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT065","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khuAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de aeropuertos  servicios de navegacion aerea y demas actividades co","4.0","Actividades de aeropuertos  servicios de navegacion aerea y demas actividades conexas al transporte aereo  incluye las actividades relacionadas con el transporte aereo de pasajeros  animales o carga  operacion de instalaciones terminales  como terminales de aeropuerto  etcetera, servicios de navegacion aerea y de prevencion de incendios y bomberos en los aeropuertos.","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT068","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khvAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de agencias de empleo  incluye agencias de ubicacion de empleos por","1.0","Actividades de agencias de empleo  incluye agencias de ubicacion de empleos por internet","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"EDI399","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000klUAAQ","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Edicion de directorios y listas de correo  incluye la edicion de bases de datos","3.0","Edicion de directorios y listas de correo  incluye la edicion de bases de datos que estan protegidas en su forma  pero no en su contenido, la edicion de listas de correo   y   edicion   de   directorios   telefonicos,   compilaciones   tales   como jurisprudencia  compendios farmaceuticos o vademecums  entre otros","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
